budget,genres,homepage,original_language,original_title,overview,popularity,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
4000000,"[{""id"": 12; ""name"": ""Adventure""}; {""id"": 18; ""name"": ""Drama""}; {""id"": 36; ""name"": ""History""}; {""id"": 53; ""name"": ""Thriller""}; {""id"": 10752; ""name"": ""War""}]",,en,The Great Escape,The Nazis; exasperated at the number of escapes from their prison camps by a relatively small number of Allied prisoners; relocates them to a high-security 'escape-proof' camp to sit out the remainder of the war. Undaunted; the prisoners plan one of the most ambitious escape attempts of World War II. Based on a true story.,35.061467,"June 20, 1963",11744471,172,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""de""; ""name"": ""Deutsch""}; {""iso_639_1"": ""fr""; ""name"": ""Fran\u00e7ais""}; {""iso_639_1"": ""ru""; ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,Put a fence in front of these men... and they'll climb it!,The Great Escape,7.8,717
2000000,"[{""id"": 28; ""name"": ""Action""}; {""id"": 53; ""name"": ""Thriller""}; {""id"": 12; ""name"": ""Adventure""}]",http://www.mgm.com/view/movie/717/From-Russia-With-Love/,en,From Russia with Love,Agent 007 is back in the second installment of the James Bond series; this time battling a secret crime organization known as SPECTRE. Russians Rosa Klebb and Kronsteen are out to snatch a decoding device known as the Lektor; using the ravishing Tatiana to lure Bond into helping them. Bond willingly travels to meet Tatiana in Istanbul; where he must rely on his wits to escape with his life in a series of deadly encounters with the enemy,41.298723,"October 11, 1963",78898765,115,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""ru""; ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}; {""iso_639_1"": ""tr""; ""name"": ""T\u00fcrk\u00e7e""}; {""iso_639_1"": ""ro""; ""name"": ""Rom\u00e2n\u0103""}]",Released,The world's masters of murder pull out all the stops to destroy Agent 007!,From Russia with Love,6.9,760
1800000,"[{""id"": 18; ""name"": ""Drama""}; {""id"": 35; ""name"": ""Comedy""}; {""id"": 10752; ""name"": ""War""}]",,en,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union. As soon as the actions of General ""Buck"" Turgidson are discovered; a war room full of politicians; generals and a Russian diplomat all frantically try to stop the nuclear strike. Near the end is a scene that is probably the most uniquely unforgettable performance of Slim Pickens in his movie career. Peter Sellers plays multiple roles in this film.",41.996783,"January 29, 1964",9440272,95,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,The hot-line suspense comedy,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8,1442
6000000,"[{""id"": 35; ""name"": ""Comedy""}; {""id"": 10751; ""name"": ""Family""}; {""id"": 14; ""name"": ""Fantasy""}]",,en,Mary Poppins,The movie combines a diverting story; songs; color and sequences of live action blended with the movements of animated figures. Mary Poppins is a kind of Super-nanny who flies in with her umbrella in response to the request of the Banks children and proceeds to put things right with the aid of her rather extraordinary magical powers before flying off again.,59.961523,"August 27, 1964",102272727,139,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,It's supercalifragilisticexpialidocious!,Mary Poppins,7.4,1183
200000,"[{""id"": 37; ""name"": ""Western""}]",,it,Per un pugno di dollari,The Man With No Name enters the Mexican village of San Miguel in the midst of a power struggle among the three Rojo brothers and sheriff John Baxter. When a regiment of Mexican soldiers bearing gold intended to pay for new weapons is waylaid by the Rojo brothers; the stranger inserts himself into the middle of the long-simmering battle; selling false information to both sides for his own benefit.,38.771062,"September 12, 1964",14500000,99,"[{""iso_639_1"": ""it""; ""name"": ""Italiano""}; {""iso_639_1"": ""es""; ""name"": ""Espa\u00f1ol""}]",Released,In his own way he is perhaps; the most dangerous man who ever lived!,A Fistful of Dollars,7.6,883
2500000,"[{""id"": 12; ""name"": ""Adventure""}; {""id"": 28; ""name"": ""Action""}; {""id"": 53; ""name"": ""Thriller""}]",http://www.mgm.com/view/movie/760/Goldfinger/,en,Goldfinger,Special agent 007 (Sean Connery) comes face to face with one of the most notorious villains of all time; and now he must outwit and outgun the powerful tycoon to prevent him from cashing in on a devious scheme to raid Fort Knox -- and obliterate the world's economy.,47.812466,"September 17, 1964",124881062,110,"[{""iso_639_1"": ""zh""; ""name"": ""\u666e\u901a\u8bdd""}; {""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""es""; ""name"": ""Espa\u00f1ol""}]",Released,Everything he touches turns into excitement!,Goldfinger,7.2,987
17000000,"[{""id"": 18; ""name"": ""Drama""}; {""id"": 10751; ""name"": ""Family""}; {""id"": 10402; ""name"": ""Music""}; {""id"": 10749; ""name"": ""Romance""}]",,en,My Fair Lady,A misogynistic and snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.,20.786616,"October 21, 1964",72070731,170,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,The loverliest motion picture of them all!,My Fair Lady,7.4,352
8200000,"[{""id"": 18; ""name"": ""Drama""}; {""id"": 10751; ""name"": ""Family""}; {""id"": 10402; ""name"": ""Music""}; {""id"": 10749; ""name"": ""Romance""}]",,en,The Sound of Music,Film adaptation of a classic Rodgers and Hammerstein musical based on a nun who becomes a governess for an Austrian family.,37.960289,"March 2, 1965",286214286,174,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""fr""; ""name"": ""Fran\u00e7ais""}; {""iso_639_1"": ""it""; ""name"": ""Italiano""}]",Released,The happiest sound in all the world!,The Sound of Music,7.4,941
5500000,"[{""id"": 12; ""name"": ""Adventure""}; {""id"": 28; ""name"": ""Action""}; {""id"": 53; ""name"": ""Thriller""}]",http://www.mgm.com/view/movie/2009/Thunderball/,en,Thunderball,A criminal organization has obtained two nuclear bombs and are asking for a 100 million pound ransom in the form of diamonds in seven days or they will use the weapons. The secret service sends James Bond to the Bahamas to once again save the world.,31.036,"December 16, 1965",141195658,130,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""fr""; ""name"": ""Fran\u00e7ais""}]",Released,Look up!  Look down!  Look out!,Thunderball,6.5,562
11000000,"[{""id"": 18; ""name"": ""Drama""}; {""id"": 10749; ""name"": ""Romance""}; {""id"": 10752; ""name"": ""War""}]",,en,Doctor Zhivago,Doctor Zhivago is the filmed adapation of the Russian novel by Boris Pasternak from director David Lean that was an international success and today deemed a classic. Omar Sharif and Julie Christie play two protagonists who in fact love each other yet because of their current situation cannot find a way be together.,12.854853,"December 22, 1965",111858363,197,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""ru""; ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,Turbulent were the times and fiery was the love story of Zhivago; his wife and the passionate; tender Lara.,Doctor Zhivago,7.4,247
1377800,"[{""id"": 10751; ""name"": ""Family""}; {""id"": 12; ""name"": ""Adventure""}; {""id"": 35; ""name"": ""Comedy""}; {""id"": 878; ""name"": ""Science Fiction""}; {""id"": 80; ""name"": ""Crime""}]",,en,Batman,The Dynamic Duo faces four super-villains who plan to hold the world for ransom with the help of a secret invention that instantly dehydrates people.,9.815394,"July 30, 1966",0,105,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,He's Here Big As Life In A Real Bat-Epic,Batman,6.1,203
1200000,"[{""id"": 37; ""name"": ""Western""}]",http://www.mgm.com/#/our-titles/766/The-Good;-the-Bad-and-the-Ugly,it,Il buono; il brutto; il cattivo,While the Civil War rages between the Union and the Confederacy; three men – a quiet loner; a ruthless hit man and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200;000 in stolen gold.,88.377076,"December 23, 1966",6000000,161,"[{""iso_639_1"": ""it""; ""name"": ""Italiano""}]",Released,For three men the Civil War wasn't hell. It was practice.,The Good; the Bad and the Ugly,8.1,2311
9500000,"[{""id"": 28; ""name"": ""Action""}; {""id"": 53; ""name"": ""Thriller""}; {""id"": 12; ""name"": ""Adventure""}]",http://www.mgm.com/view/movie/2347/You-Only-Live-Twice/,en,You Only Live Twice,A mysterious space craft kidnaps a Russian and American space capsule and brings the world on the verge of another World War. James Bond investigates the case in Japan and meets with his archenemy Blofeld. The fifth film from the legendary James Bond series starring Sean Connery as the British super agent.,28.675891,"June 12, 1967",111584787,117,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""ja""; ""name"": ""\u65e5\u672c\u8a9e""}; {""iso_639_1"": ""ru""; ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,You Only Live Twice...and Twice is the only way to live!,You Only Live Twice,6.5,531
10500000,"[{""id"": 878; ""name"": ""Science Fiction""}; {""id"": 9648; ""name"": ""Mystery""}; {""id"": 12; ""name"": ""Adventure""}]",,en,2001: A Space Odyssey,Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000; the world's most advanced super computer.,86.201184,"April 10, 1968",68700000,149,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""ru""; ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,An epic drama of adventure and exploration,2001: A Space Odyssey,7.9,2998
3200000,"[{""id"": 27; ""name"": ""Horror""}; {""id"": 18; ""name"": ""Drama""}; {""id"": 9648; ""name"": ""Mystery""}]",,en,Rosemary's Baby,A young couple moves into an infamous New York apartment building to start a family. Things become frightening as Rosemary begins to suspect her unborn baby isn't safe around their strange neighbors.,26.180367,"June 12, 1968",33395426,136,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,Pray for Rosemary's Baby,Rosemary's Baby,7.5,863
114000,"[{""id"": 27; ""name"": ""Horror""}]",,en,Night of the Living Dead,"A group of people try to survive an attack of bloodthirsty zombies while trapped in a rural Pennsylvania farmhouse. Although not the first zombie film; Night of the Living Dead is the progenitor of the contemporary ""zombie apocalypse"" horror film; and it greatly influenced the modern pop-culture zombie archetype.",25.666029,"October 1, 1968",30000000,96,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,If it doesn't scare you; you're already dead!,Night of the Living Dead,7.5,580
5000000,"[{""id"": 37; ""name"": ""Western""}]",,it,C'era una volta il West,This classic western masterpiece is an epic film about a widow whose land and life are in danger as the railroad is getting closer and closer to taking them over. A mysterious harmonica player joins forces with a desperado to protect the woman and her land.,49.333137,"December 21, 1968",5321508,175,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,There were three men in her life. One to take her... one to love her... and one to kill her.,Once Upon a Time in the West,8.1,1128
3600000,"[{""id"": 18; ""name"": ""Drama""}]",,en,Midnight Cowboy,A naive male prostitute and his sickly friend struggle to survive on the streets of New York City.,21.119209,"May 25, 1969",44785053,113,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""it""; ""name"": ""Italiano""}]",Released,Whatever you hear about Midnight Cowboy is true.,Midnight Cowboy,7.4,299
6244087,"[{""id"": 12; ""name"": ""Adventure""}; {""id"": 37; ""name"": ""Western""}]",,en,The Wild Bunch,Aging outlaw Pike Bishop (William Holden) prepares to retire after one final robbery. Joined by his gang; which includes Dutch Engstrom (Ernest Borgnine) and brothers Lyle (Warren Oates) and Tector Gorch (Ben Johnson); Bishop discovers the heist is a setup orchestrated in part by his old partner; Deke Thornton (Robert Ryan). As the remaining gang takes refuge in Mexican territory; Thornton trails them; resulting in fierce gunfights with plenty of casualties,14.970654,"June 17, 1969",638641,145,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""de""; ""name"": ""Deutsch""}; {""iso_639_1"": ""es""; ""name"": ""Espa\u00f1ol""}]",Released,If you only want to spend two hours in a movie theatre and go home and forget it; stay away from THE WILD BUNCH.,The Wild Bunch,7.6,259
6000000,"[{""id"": 36; ""name"": ""History""}; {""id"": 18; ""name"": ""Drama""}; {""id"": 37; ""name"": ""Western""}; {""id"": 80; ""name"": ""Crime""}]",,en,Butch Cassidy and the Sundance Kid,In late 1890s Wyoming; Butch Cassidy is the affable; clever and talkative leader of the outlaw Hole in the Wall Gang. His closest companion is the laconic dead-shot 'Sundance Kid'. As the west rapidly becomes civilized; the law finally catches up to Butch; Sundance and their gang.  Chased doggedly by a special posse; the two decide to make their way to South America in hopes of evading their pursuers once and for all.,24.499996,"September 23, 1969",102308889,110,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""es""; ""name"": ""Espa\u00f1ol""}]",Released,Not that it matters; but most of it is true.,Butch Cassidy and the Sundance Kid,7.4,650
6500000,"[{""id"": 12; ""name"": ""Adventure""}; {""id"": 28; ""name"": ""Action""}; {""id"": 53; ""name"": ""Thriller""}]",http://www.mgm.com/view/movie/1411/On-Her-Majesty%E2%80%99s-Secret-Service/,en,On Her Majesty's Secret Service,James Bond tracks archnemesis Ernst Blofeld to a mountaintop retreat where he's training an army of beautiful but lethal women. Along the way; Bond falls for Italian contessa Tracy Draco -- and marries her in order to get closer to Blofeld. Meanwhile; he locates Blofeld in the Alps and embarks on a classic ski chase.,25.289665,"December 12, 1969",81974493,142,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""de""; ""name"": ""Deutsch""}]",Released,Far up! Far out! Far more! James Bond 007 is back!,On Her Majesty's Secret Service,6.5,456
12000000,"[{""id"": 18; ""name"": ""Drama""}; {""id"": 36; ""name"": ""History""}; {""id"": 10752; ""name"": ""War""}]",,en,Patton,"""Patton"" tells the tale of General George S. Patton; famous tank commander of World War II. The film begins with patton's career in North Africa and progresses through the invasion of Germany and the fall of the Third Reich. Side plots also speak of Patton's numerous faults such his temper and habit towards insubordination.",21.933822,"January 25, 1970",89800000,172,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,The Rebel Warrior,Patton,7.3,323
3000000,"[{""id"": 12; ""name"": ""Adventure""}; {""id"": 878; ""name"": ""Science Fiction""}; {""id"": 9648; ""name"": ""Mystery""}]",,en,Beneath the Planet of the Apes,Astronaut Brent is sent to rescue Taylor but crash lands on the Planet of the Apes; just like Taylor did in the original film. Taylor has disappeared into the Forbidden Zone so Brent and Nova try to follow and find him. He discovers a cult of humans that fear the Apes' latest military movements and finds himself in the middle. Tension mounts to a climactic battle between ape and man deep in the bowels of the planet.,24.393296,"May 1, 1970",18999718,95,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,An army of civilized apes...A fortress of radiation-crazed super humans...Earth's final battle is about to begin - Beneath the atomic rubble of what was once the city of New York!,Beneath the Planet of the Apes,6.2,361
2500000,"[{""id"": 28; ""name"": ""Action""}; {""id"": 878; ""name"": ""Science Fiction""}]",,en,Escape from the Planet of the Apes,The world is shocked by the appearance of two talking chimpanzees; who arrived mysteriously in a U.S. spacecraft. They become the toast of society; but one man believes them to be a threat to the human race.,18.30961,"May 20, 1971",12348905,98,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,Meet baby Milo who has Washington terrified.,Escape from the Planet of the Apes,6.3,264
3000000,"[{""id"": 10751; ""name"": ""Family""}; {""id"": 14; ""name"": ""Fantasy""}]",,en,Willy Wonka & the Chocolate Factory,Eccentric candy man Willy Wonka prompts a worldwide frenzy when he announces that golden tickets hidden inside five of his delicious candy bars will admit their lucky holders into his top-secret confectionary. But does Wonka have an agenda hidden amid a world of Oompa Loompas and chocolate rivers?,23.981601,"June 29, 1971",4000000,100,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""fr""; ""name"": ""Fran\u00e7ais""}; {""iso_639_1"": ""de""; ""name"": ""Deutsch""}]",Released,It's Scrumdiddlyumptious!,Willy Wonka & the Chocolate Factory,7.4,798
1800000,"[{""id"": 28; ""name"": ""Action""}; {""id"": 80; ""name"": ""Crime""}; {""id"": 53; ""name"": ""Thriller""}]",,en,The French Connection,Tough narcotics detective 'Popeye' Doyle is in hot pursuit of a suave French drug dealer who may be the key to a huge heroin-smuggling operation.,15.978136,"October 9, 1971",41158757,104,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""fr""; ""name"": ""Fran\u00e7ais""}]",Released,There are no rules and no holds barred when Popeye cuts loose!,The French Connection,7.4,422
7200000,"[{""id"": 12; ""name"": ""Adventure""}; {""id"": 28; ""name"": ""Action""}; {""id"": 53; ""name"": ""Thriller""}]",http://www.mgm.com/view/movie/529/Diamonds-Are-Forever/,en,Diamonds Are Forever,Diamonds are stolen only to be sold again in the international market. James Bond infiltrates a smuggling mission to find out who’s guilty. The mission takes him to Las Vegas where Bond meets his archenemy Blofeld.,34.634181,"December 13, 1971",116019547,120,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""de""; ""name"": ""Deutsch""}]",Released,The man who made 007 a household number,Diamonds Are Forever,6.3,553
6000000,"[{""id"": 18; ""name"": ""Drama""}; {""id"": 80; ""name"": ""Crime""}]",http://www.thegodfather.com/,en,The Godfather,Spanning the years 1945 to 1955; a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch; Vito Corleone barely survives an attempt on his life; his youngest son; Michael steps in to take care of the would-be killers; launching a campaign of bloody revenge.,143.659698,"March 14, 1972",245066411,175,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""it""; ""name"": ""Italiano""}; {""iso_639_1"": ""la""; ""name"": ""Latin""}]",Released,An offer you can't refuse.,The Godfather,8.4,5893
1700000,"[{""id"": 28; ""name"": ""Action""}; {""id"": 878; ""name"": ""Science Fiction""}]",,en,Conquest of the Planet of the Apes,In a futuristic world that has embraced ape slavery; Caesar; the son of the late simians Cornelius and Zira; surfaces after almost twenty years of hiding out from the authorities; and prepares for a slave revolt against humanity.,18.828683,"June 29, 1972",9700000,88,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,All new! The revolt of the apes. The most awesome spectacle in the annals of science fiction!,Conquest of the Planet of the Apes,6.1,236
2000000,"[{""id"": 35; ""name"": ""Comedy""}]",,en,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,A collection of seven vignettes; which each address a question concerning human sexuality.,13.223111,"August 6, 1972",18016290,88,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""it""; ""name"": ""Italiano""}]",Released,,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,6.6,215
5500000,"[{""id"": 37; ""name"": ""Western""}]",,en,High Plains Drifter,A gunfighting stranger comes to the small settlement of Lago. After gunning down three gunmen who tried to kill him; the townsfolk decide to hire the Stranger to hold off three outlaws who are on their way.,19.127239,"April 19, 1973",15700000,105,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,Welcome to Hell,High Plains Drifter,7.4,278
1700000,"[{""id"": 28; ""name"": ""Action""}; {""id"": 878; ""name"": ""Science Fiction""}]",,en,Battle for the Planet of the Apes,The fifth and final episode in the Planet of the Apes series. After the collapse of human civilization; a community of intelligent apes led by Caesar lives in harmony with a group of humans. Gorilla General Aldo tries to cause an ape civil war and a community of human mutants who live beneath a destroyed city try to conquer those whom they perceive as enemies. All leading to the finale.,13.315383,"June 15, 1973",8844595,93,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,The final chapter in the incredible Apes saga. The most suspenseful showdown ever filmed as two civilizations battle for the right to inherit what's left of the earth!,Battle for the Planet of the Apes,5.5,215
7000000,"[{""id"": 12; ""name"": ""Adventure""}; {""id"": 28; ""name"": ""Action""}; {""id"": 53; ""name"": ""Thriller""}]",http://www.mgm.com/view/movie/1130/Live-and-Let-Die/,en,Live and Let Die,James Bond must investigate a mysterious murder case of a British agent in New Orleans. Soon he finds himself up against a gangster boss named Mr. Big.,30.465138,"July 5, 1973",161777836,121,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""hu""; ""name"": ""Magyar""}]",Released,Roger Moore is James Bond.,Live and Let Die,6.4,533
777000,"[{""id"": 35; ""name"": ""Comedy""}; {""id"": 18; ""name"": ""Drama""}]",,en,American Graffiti,A couple of high school graduates spend one final night cruising the strip with their buddies before they go off to college.,19.326115,"August 1, 1973",140000000,110,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,Where were you in '62?,American Graffiti,6.9,324
500000,"[{""id"": 18; ""name"": ""Drama""}; {""id"": 80; ""name"": ""Crime""}]",,en,Mean Streets,A small-time hood must choose from among love; friendship and the chance to rise within the mob.,17.002096,"October 2, 1973",3000000,110,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""it""; ""name"": ""Italiano""}]",Released,You don't make up for your sins in church. You do it in the streets...,Mean Streets,7.2,345
2000000,"[{""id"": 35; ""name"": ""Comedy""}; {""id"": 10749; ""name"": ""Romance""}; {""id"": 878; ""name"": ""Science Fiction""}]",,en,Sleeper,Miles Monroe; a clarinet-playing health food store proprietor; is revived out of cryostasis 200 years into a future world in order to help rebels fight an oppressive government regime.,10.664202,"December 17, 1973",18344729,89,"[{""iso_639_1"": ""en""; ""name"": ""English""}; {""iso_639_1"": ""yi""; ""name"": """"}]",Released,Woody Allen takes a nostalgic look at the future.,Sleeper,7,200
5500000,"[{""id"": 35; ""name"": ""Comedy""}; {""id"": 80; ""name"": ""Crime""}; {""id"": 18; ""name"": ""Drama""}]",,en,The Sting,Set in the 1930's this intricate caper deals with an ambitious small-time crook and a veteran con man who seek revenge on a vicious crime lord who murdered one of their gang.,28.500913,"December 25, 1973",159616327,129,"[{""iso_639_1"": ""en""; ""name"": ""English""}]",Released,...all it takes is a little confidence.,The Sting,7.9,622
