budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
35000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",,1598,"[{""id"": 378, ""name"": ""prison""}, {""id"": 516, ""name"": ""child abuse""}, {""id"": 570, ""name"": ""rape""}, {""id"": 1415, ""name"": ""small town""}, {""id"": 5600, ""name"": ""daughter""}, {""id"": 6149, ""name"": ""police""}, {""id"": 9748, ""name"": ""revenge""}, {""id"": 10909, ""name"": ""lawyer""}, {""id"": 11333, ""name"": ""cigar smoking""}, {""id"": 13073, ""name"": ""fear""}, {""id"": 15162, ""name"": ""dog""}, {""id"": 41381, ""name"": ""rapist""}]",en,Cape Fear,"Sam Bowden is a small-town corporate attorney. Max Cady is a tattooed, cigar-smoking, bible-quoting, psychotic rapist. What do they have in common? Fourteen years ago, Sam was a public defender assigned to Max Cady's rape trial, and he made a serious error: he hid a document from his illiterate client that could have gotten him acquitted. Now, the cagey, bibliophile Cady has been released, and he intends to teach Sam Bowden and his family a thing or two about loss.",27.714043,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""Cappa Productions"", ""id"": 691}, {""name"": ""Tribeca Productions"", ""id"": 11391}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",11/15/1991,182300000,128,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,There is nothing in the dark that isn't there in the light. Except fear.,Cape Fear,7,675
30000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}]",,2907,"[{""id"": 2643, ""name"": ""dead wish""}, {""id"": 3133, ""name"": ""vampire""}, {""id"": 4553, ""name"": ""black humor""}, {""id"": 6464, ""name"": ""uncle""}, {""id"": 10483, ""name"": ""eccentric""}, {""id"": 12564, ""name"": ""werewolf""}, {""id"": 162810, ""name"": ""macabre""}, {""id"": 166631, ""name"": ""loan shark""}, {""id"": 207697, ""name"": ""accountant""}]",en,The Addams Family,"Uncle Fester has been missing for 25 years. An evil doctor finds out and introduces a fake Fester in an attempt to get the Adams Family's money. The youngest daughter has some doubts about the new uncle Fester, but the fake uncle adapts very well to the strange family. Can the doctor carry out her evil plans and take over the Adams Family's fortune?",37.179547,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Orion Pictures"", ""id"": 41}, {""name"": ""Scott Rudin Productions"", ""id"": 258}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",11/22/1991,191502426,99,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Weird Is Relative,The Addams Family,6.7,848
27000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",,174,"[{""id"": 455, ""name"": ""farewell""}, {""id"": 503, ""name"": ""federation""}, {""id"": 505, ""name"": ""starfleet""}, {""id"": 559, ""name"": ""peace conference""}, {""id"": 665, ""name"": ""uss enterprise-a""}, {""id"": 750, ""name"": ""rura penthe""}, {""id"": 3012, ""name"": ""court case""}, {""id"": 4732, ""name"": ""peace contract""}, {""id"": 4812, ""name"": ""plan""}, {""id"": 155211, ""name"": ""klingon""}, {""id"": 161176, ""name"": ""space opera""}]",en,Star Trek VI: The Undiscovered Country,"On the eve of retirement, Kirk and McCoy are charged with assassinating the Klingon High Chancellor and imprisoned. The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace.",16.188572,"[{""name"": ""Paramount Pictures"", ""id"": 4}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/5/1991,96900000,113,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The battle for peace has begun.,Star Trek VI: The Undiscovered Country,6.7,413
70000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",,879,"[{""id"": 334, ""name"": ""flying""}, {""id"": 1400, ""name"": ""swordplay""}, {""id"": 1938, ""name"": ""sword""}, {""id"": 2486, ""name"": ""fantasy""}, {""id"": 4332, ""name"": ""peter pan""}, {""id"": 5600, ""name"": ""daughter""}, {""id"": 6187, ""name"": ""fairy-tale figure""}, {""id"": 10084, ""name"": ""rescue""}]",en,Hook,"The boy who wasn't supposed to grow upPeter Pandid just that, becoming a soulless corporate lawyer whose workaholism could cost him his wife and kids. But a trip to see Granny Wendy in London, where the vengeful Capt. Hook kidnaps Peter's kids and forces Peter to return to Neverland, could lead to a chance at redemption, in this family-oriented fantasy from director Steven Spielberg.",33.648404,"[{""name"": ""Amblin Entertainment"", ""id"": 56}, {""name"": ""TriStar Pictures"", ""id"": 559}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/11/1991,300854823,144,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,What if Peter Pan grew up?,Hook,6.6,1532
40000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 36, ""name"": ""History""}]",,820,"[{""id"": 441, ""name"": ""assassination""}, {""id"": 591, ""name"": ""cia""}, {""id"": 1013, ""name"": ""homophobia""}, {""id"": 2411, ""name"": ""new orleans""}, {""id"": 2957, ""name"": ""vietnam war""}, {""id"": 4170, ""name"": ""john f. kennedy""}, {""id"": 5340, ""name"": ""investigation""}, {""id"": 6086, ""name"": ""government""}, {""id"": 6165, ""name"": ""historical figure""}, {""id"": 8570, ""name"": ""president""}, {""id"": 10410, ""name"": ""conspiracy""}, {""id"": 34079, ""name"": ""death""}, {""id"": 170548, ""name"": ""kennedy assassination""}]",en,JFK,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,26.82041,"[{""name"": ""Camelot Productions"", ""id"": 523}, {""name"": ""Canal Plus Group"", ""id"": 524}, {""name"": ""Ixtlan Productions"", ""id"": 525}, {""name"": ""Warner Bros."", ""id"": 6194}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/20/1991,205405498,189,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,The story that wont go away.,JFK,7.5,502
20000000,"[{""id"": 10402, ""name"": ""Music""}, {""id"": 35, ""name"": ""Comedy""}]",,8872,"[{""id"": 2571, ""name"": ""tv show""}, {""id"": 5540, ""name"": ""heavy metal""}, {""id"": 10582, ""name"": ""television producer""}, {""id"": 187056, ""name"": ""woman director""}]",en,Wayne's World,"When a sleazy TV exec offers Wayne and Garth a fat contract to tape their late-night public access show at his network, they can't believe their good fortune. But they soon discover the road from basement to big-time is a gnarly one, fraught with danger, temptation and ragin' party opportunities.",21.815122,"[{""name"": ""Paramount Pictures"", ""id"": 4}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2/14/1992,121697323,94,"[{""iso_639_1"": ""cn"", ""name"": ""\u5e7f\u5dde\u8bdd / \u5ee3\u5dde\u8a71""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,You'll laugh. You'll cry. You'll hurl.,Wayne's World,6.5,728
11000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",,10377,"[{""id"": 378, ""name"": ""prison""}, {""id"": 531, ""name"": ""southern usa""}, {""id"": 3301, ""name"": ""suspicion""}, {""id"": 4438, ""name"": ""cousin""}, {""id"": 6148, ""name"": ""court""}, {""id"": 10909, ""name"": ""lawyer""}, {""id"": 160497, ""name"": ""wrongful arrest""}]",en,My Cousin Vinny,"Two carefree pals traveling through Alabama are mistakenly arrested, and charged with murder. Fortunately, one of them has a cousin who's a lawyer - Vincent Gambini, a former auto mechanic from Brooklyn who just passed his bar exam after his sixth try. When he arrives with his leather-clad girlfriend , to try his first case, it's a real shock - for him and the Deep South!",19.231507,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Palo Vista Productions"", ""id"": 89303}, {""name"": ""Peter V. Miller Investment Corp."", ""id"": 89304}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",3/13/1992,64088552,120,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"Truth, Justice and the Gambini Way",My Cousin Vinny,7.3,384
0,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",http://www.bfi.org.uk/whats-on/bfi-film-releases/howards-end,8293,"[{""id"": 818, ""name"": ""based on novel""}, {""id"": 1156, ""name"": ""sister sister relationship""}, {""id"": 2386, ""name"": ""empowerment""}, {""id"": 5923, ""name"": ""sister""}, {""id"": 205850, ""name"": ""turn of the century""}, {""id"": 234626, ""name"": ""edwardian england""}]",en,Howards End,"Merchant Ivorys adaptation of EM Forsters classic 1910 novel, starring Emma Thompson, Helena Bonham Carter, Anthony Hopkins & Vanessa Redgrave returns to the big screen in a beautiful new 4K restoration. Stunning location photography, lavishly detailed sets & elegant period costumes, this compelling saga follows the interwoven fates and misfortunes of three families amid the changing times of Edwardian England. It tells the story of two free-spirited, cosmopolitan sisters, Margaret (Emma Thompson) and Helen Schlegel (Helena Bonham Carter), who collide with the world of the very wealthy  one sister benefiting from the acquaintance with the Wilcoxes (owners of the beloved country home Howards End), the other all but destroyed by it. Anthony Hopkins is the conservative industrialist Henry Wilcox and Vanessa Redgrave is his ailing wife Ruth Wilcox.",5.897391,"[{""name"": ""Merchant Ivory Productions"", ""id"": 2370}, {""name"": ""The Criterion Collection"", ""id"": 10932}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",3/13/1992,25966555,140,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",Released,,Howards End,6.9,95
35000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",,943,"[{""id"": 155716, ""name"": ""rookie cop""}, {""id"": 167308, ""name"": ""dog biscuit""}, {""id"": 167309, ""name"": ""shooting practice""}, {""id"": 167310, ""name"": ""sitting on a toilet""}, {""id"": 167311, ""name"": ""judo throw""}, {""id"": 167313, ""name"": ""police psychologist""}, {""id"": 167316, ""name"": ""buddy cop""}, {""id"": 167319, ""name"": ""firing range""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}]",en,Lethal Weapon 3,"Archetypal buddy cops Riggs and Murtaugh are back for another round of high-stakes action, this time setting their collective sights on bringing down a former Los Angeles police lieutenant turned black market weapons dealer. Lorna Cole joins as the beautiful yet hardnosed internal affairs sergeant who catches Riggs's eye.",36.172182,"[{""name"": ""Silver Pictures"", ""id"": 1885}, {""name"": ""Warner Bros."", ""id"": 6194}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/15/1992,321731527,118,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The magic is back again!,Lethal Weapon 3,6.4,811
50000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 27, ""name"": ""Horror""}]",,8077,"[{""id"": 378, ""name"": ""prison""}, {""id"": 803, ""name"": ""android""}, {""id"": 1612, ""name"": ""spacecraft""}, {""id"": 1826, ""name"": ""space marine""}, {""id"": 2883, ""name"": ""imprisonment""}, {""id"": 3388, ""name"": ""space colony""}, {""id"": 3801, ""name"": ""space travel""}, {""id"": 4083, ""name"": ""rottweiler""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 9951, ""name"": ""alien""}, {""id"": 11436, ""name"": ""redemption""}, {""id"": 12405, ""name"": ""outer space""}, {""id"": 13194, ""name"": ""planet""}, {""id"": 158895, ""name"": ""shaved head""}, {""id"": 160879, ""name"": ""crash landing""}, {""id"": 163045, ""name"": ""impregnation""}, {""id"": 178652, ""name"": ""penal colony""}, {""id"": 189414, ""name"": ""furnace""}, {""id"": 193149, ""name"": ""suspended animation""}, {""id"": 226177, ""name"": ""xenomorph""}]",en,Alien,"After escaping with Newt and Hicks from the alien planet, Ripley crash lands on Fiorina 161, a prison planet and host to a correctional facility. Unfortunately, although Newt and Hicks do not survive the crash, a more unwelcome visitor does. The prison does not allow weapons of any kind, and with aid being a long time away, the prisoners must simply survive in any way they can.",45.856409,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Brandywine Productions"", ""id"": 19747}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/22/1992,159773545,114,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The bitch is back.,Alien,6.2,1633
45000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",,9869,"[{""id"": 441, ""name"": ""assassination""}, {""id"": 782, ""name"": ""assassin""}, {""id"": 1522, ""name"": ""repayment""}, {""id"": 14552, ""name"": ""ira""}, {""id"": 155723, ""name"": ""jack ryan""}]",en,Patriot Games,"When CIA Analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets Jack and his family as revenge.",19.637704,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Mace Neufeld Productions"", ""id"": 2767}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/4/1992,178051587,117,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Not for honor. Not for country. For his wife and child.,Patriot Games,6.3,433
